# Session
# Date,2026-06-25 10:58:42
# Duration,16.888s
# Sampling Rate (Expected),Game (50 Hz) - Climbing recommended
# Total Events,831
#
Time(ms),Sensor,Accel.X(m/s²),Accel.Y(m/s²),Accel.Z(m/s²),Gyro.X(rad/s),Gyro.Y(rad/s),Gyro.Z(rad/s),Heart(bpm),Pressure(hPa),Altitude(m)
3384,fused,1.103500485420227,-8.84066390991211,4.57746696472168,-0.005551312118768692,0.018963657319545746,-0.028828220441937447,0.0,0.0,0.0
3406,fused,1.122664451599121,-8.874200820922852,4.551116466522217,-0.04602131247520447,0.0040536560118198395,-0.0362832210958004,0.0,0.0,0.0
3425,fused,1.1825519800186157,-8.98678970336914,4.486437797546387,-0.026851311326026917,-0.00020634382963180542,-0.0011382191441953182,0.0,0.0,0.0
3445,fused,1.108291506767273,-9.037095069885254,4.486437797546387,0.04556868597865105,-0.0034013439435511827,0.013771779835224152,0.0,0.0,0.0
3468,fused,1.151410460472107,-8.919715881347656,4.517579555511475,0.031723689287900925,-0.011921344324946404,0.005251780617982149,0.0,0.0,0.0
3485,fused,1.151410460472107,-8.876596450805664,4.567884922027588,0.031723689287900925,-0.011921344324946404,0.005251780617982149,0.0,0.0,0.0
3505,fused,1.1346420049667358,-8.917320251464844,4.565489292144775,-0.007681311573833227,-0.0161813423037529,0.007381780538707972,0.0,0.0,0.0
3528,fused,1.1418285369873047,-8.993975639343262,4.517579555511475,-0.023656312376260757,-0.01831134222447872,0.005251780617982149,0.0,0.0,0.0
3544,fused,1.1466195583343506,-9.070631980895996,4.48164701461792,-0.010876312851905823,-0.0161813423037529,-0.0032682190649211407,0.0,0.0,0.0
3565,fused,1.1873430013656616,-9.085004806518555,4.486437797546387,0.023203687742352486,-0.014051343314349651,0.0009917807765305042,0.0,0.0,0.0
3585,fused,1.2065069675445557,-9.12093734741211,4.479251384735107,0.0721936896443367,-0.0161813423037529,0.02548678033053875,0.0,0.0,0.0
3605,fused,1.1585969924926758,-9.065840721130371,4.51278829574585,0.12863868474960327,-0.01831134222447872,0.05317677929997444,0.0,0.0,0.0
3625,fused,1.0963139533996582,-8.98678970336914,4.565489292144775,0.17017368972301483,-0.02150634303689003,0.05956678092479706,0.0,0.0,0.0
3645,fused,1.0771499872207642,-8.886178970336914,4.625377178192139,0.17869368195533752,-0.027896342799067497,0.04146178066730499,0.0,0.0,0.0
3665,fused,1.0939184427261353,-8.79994010925293,4.675682544708252,0.1499386876821518,-0.03002634458243847,0.019096780568361282,0.0,0.0,0.0
3686,fused,1.125059962272644,-8.72807502746582,4.685264587402344,0.09775368869304657,-0.031091341748833656,0.005251780617982149,0.0,0.0,0.0
3705,fused,1.1394330263137817,-8.730470657348633,4.706823825836182,0.03598368540406227,-0.023636342957615852,-0.0032682190649211407,0.0,0.0,0.0
3725,fused,1.1442240476608276,-8.912528991699219,4.6732869148254395,-0.005551312118768692,-0.019376343116164207,-0.0032682190649211407,0.0,0.0,0.0
3745,fused,1.1609925031661987,-8.97720718383789,4.646936416625977,0.01574868895113468,-0.009791344404220581,-0.0022032191045582294,0.0,0.0,0.0
3765,fused,1.1729700565338135,-8.900551795959473,4.654122829437256,0.04237368702888489,-0.00020634382963180542,-0.0022032191045582294,0.0,0.0,0.0
3785,fused,1.1394330263137817,-8.823895454406738,4.668496131896973,0.043438687920570374,0.002988656284287572,-0.0022032191045582294,0.0,0.0,0.0
3804,fused,1.0939184427261353,-8.797545433044434,4.699637413024902,0.012553688138723373,0.0019236563239246607,-0.004333219025284052,0.0,0.0,0.0
